"DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"2021-01-01","0.00","0.0","9.1","17","23","12"
"2021-01-02","0.00","0.0","9.1","17","26","10"
"2021-01-03","0.00","0.0","7.9","20","36","12"
"2021-01-04","0.01","0.0","7.9","27","38","19"
"2021-01-05","0.00","0.0","7.9","26","34","16"
"2021-01-06","0.00","0.0","7.9","27","33","24"
"2021-01-07","0.00","0.0","7.9","24","25","21"
"2021-01-08","0.00","0.0","7.9","20","23","15"
"2021-01-09","0.00","0.0","7.9","16","18","12"
"2021-01-10","0.00","0.0","7.1","22","29","18"
"2021-01-11","0.00","0.0","7.1","29","36","22"
"2021-01-12","0.00","0.0","7.1","26","38","19"
"2021-01-13","0.00","0.0","7.1","33","39","26"
"2021-01-14","0.27","2.0","7.1","33","35","30"
"2021-01-15","0.20","0.9","9.1","33","35","33"
"2021-01-16","0.00","0.0","7.1","31","33","23"
"2021-01-17","0.00","0.0","7.1","21","23","19"
"2021-01-18","0.00","0.0","5.9","21","23","19"
"2021-01-19","0.03","0.5","5.9","18","21","3"
"2021-01-20","0.00","0.0","5.9","15","37","2"
"2021-01-21","0.00","0.0","5.9","32","34","8"
"2021-01-22","0.00","0.0","5.9","9","15","1"
"2021-01-23","0.32","4.1","5.9","14","20","9"
"2021-01-24","0.03","0.3","9.8","20","29","15"
"2021-01-25","0.00","0.0","9.8","16","23","11"
"2021-01-26","0.00","0.0","9.1","16","21","10"
"2021-01-27","0.00","0.0","9.1","12","15","9"
"2021-01-28","0.00","0.0","9.1","13","21","9"
"2021-01-29","0.00","0.0","7.9","19","24","17"
"2021-01-30","0.00","0.0","7.9","27","33","24"
"2021-01-31","0.01","0.0","7.1","31","33","28"
"2021-02-01","0.00","0.0","7.1","27","29","22"
"2021-02-02","0.00","0.0","7.1","22","24","18"
"2021-02-03","0.00","0.0","7.1","23","34","16"
"2021-02-04","0.19","2.1","7.1","27","33","7"
"2021-02-05","0.00","0.0","7.9","8","11","2"
"2021-02-06","0.00","0.0","7.9","0","3","-12"
"2021-02-07","0.01","0.1","7.9","-10","-3","-16"
"2021-02-08","0.00","0.0","7.9","-4","1","-10"
"2021-02-09","0.02","0.2","7.9","-1","8","-8"
"2021-02-10","0.00","0.0","7.9","2","8","-6"
"2021-02-11","0.01","0.2","7.1","-5","1","-10"
"2021-02-12","0.01","0.2","7.1","-7","-4","-13"
"2021-02-13","0.00","0.0","7.1","-6","-3","-12"
"2021-02-14","0.00","0.0","7.1","-11","-4","-19"
"2021-02-15","0.00","0.0","7.1","-10","0","-17"
"2021-02-16","0.00","0.0","7.1","-4","12","-15"
"2021-02-17","0.05","0.6","7.1","4","9","-3"
"2021-02-18","0.02","0.3","7.9","10","16","7"
"2021-02-19","0.00","0.0","7.9","11","19","2"
"2021-02-20","0.00","0.0","7.9","10","22","-2"
"2021-02-21","0.06","0.6","7.9","22","28","18"
"2021-02-22","0.00","0.0","7.9","30","41","25"
"2021-02-23","0.00","0.0","7.9","36","39","31"
"2021-02-24","0.01","0.1","7.1","35","38","28"
"2021-02-25","0.00","0.0","5.9","30","36","24"
"2021-02-26","0.00","0.0","5.9","33","41","25"
"2021-02-27","0.00","0.0","5.1","36","47","27"
"2021-02-28","0.14","1.5","3.9","35","38","20"
"2021-03-01","0.04","0.7","5.9","20","26","13"
"2021-03-02","0.00","0.0","5.1","29","47","17"
"2021-03-03","0.00","0.0","3.1","38","50","26"
"2021-03-04","0.00","0.0","1.2","38","46","29"
"2021-03-05","0.00","0.0","0.0","39","46","30"
"2021-03-06","0.00","0.0","0.0","36","48","25"
"2021-03-07","0.00","0.0","0.0","42","62","32"
"2021-03-08","0.00","0.0","0.0","48","58","32"
"2021-03-09","0.00","0.0","0.0","50","62","41"
"2021-03-10","0.69","0.0","0.0","47","50","36"
"2021-03-11","0.00","0.0","0.0","39","48","33"
"2021-03-12","0.00","0.0","0.0","35","45","26"
"2021-03-13","0.00","0.0","0.0","42","59","28"
"2021-03-14","0.00","0.0","0.0","43","48","34"
"2021-03-15","0.31","2.9","0.0","33","36","28"
"2021-03-16","0.01","0.0","3.1","31","35","29"
"2021-03-17","0.01","0.4","3.1","35","43","32"
"2021-03-18","0.00","0.0","0.0","40","53","31"
"2021-03-19","0.00","0.0","0.0","41","51","30"
"2021-03-20","0.00","0.0","0.0","42","57","32"
"2021-03-21","0.00","0.0","0.0","51","63","41"
"2021-03-22","0.00","0.0","0.0","50","59","35"
"2021-03-23","0.61","0.0","0.0","50","59","44"
"2021-03-24","0.94","0.0","0.0","42","45","39"
"2021-03-25","0.00","0.0","0.0","41","53","30"
"2021-03-26","0.00","0.0","0.0","36","48","28"
"2021-03-27","0.21","0.0","0.0","42","47","36"
"2021-03-28","0.00","0.0","0.0","37","45","32"
"2021-03-29","0.00","0.0","0.0","49","73","39"
"2021-03-30","0.00","0.0","0.0","46","55","29"
"2021-03-31","0.00","0.0","0.0","30","36","23"
"2021-04-01","0.00","0.0","0.0","30","44","20"
"2021-04-02","0.00","0.0","0.0","43","61","33"
"2021-04-03","0.00","0.0","0.0","55","71","39"
"2021-04-04","0.00","0.0","0.0","61","77","46"
"2021-04-05","0.20","0.0","0.0","66","85","47"
"2021-04-06","0.68","0.0","0.0","65","71","50"
"2021-04-07","0.21","0.0","0.0","61","74","51"
"2021-04-08","0.30","0.0","0.0","56","65","47"
"2021-04-09","0.12","0.0","0.0","50","53","44"
"2021-04-10","0.00","0.0","0.0","45","48","42"
"2021-04-11","0.00","0.0","0.0","47","55","42"
"2021-04-12","0.07","0.0","0.0","46","49","36"
"2021-04-13","0.04","0.3","0.0","36","37","31"
"2021-04-14","0.02","0.2","0.0","36","49","31"
"2021-04-15","0.00","0.0","0.0","43","52","38"
"2021-04-16","0.00","0.0","0.0","48","60","37"
"2021-04-17","0.00","0.0","0.0","49","61","36"
"2021-04-18","0.01","0.0","0.0","51","64","38"
"2021-04-19","0.00","0.0","0.0","38","40","31"
"2021-04-20","0.00","0.0","0.0","36","43","30"
"2021-04-21","0.00","0.0","0.0","35","43","29"
"2021-04-22","0.00","0.0","0.0","47","64","34"
"2021-04-23","0.09","0.0","0.0","50","52","44"
"2021-04-24","0.00","0.0","0.0","44","50","36"
"2021-04-25","0.00","0.0","0.0","40","46","33"
"2021-04-26","0.23","0.0","0.0","44","55","39"
"2021-04-27","0.53","0.0","0.0","46","54","41"
"2021-04-28","0.00","0.0","0.0","47","63","37"
"2021-04-29","0.00","0.0","0.0","56","67","43"
"2021-04-30","0.00","0.0","0.0","53","61","40"
"2021-05-01","0.00","0.0","0.0","66","87","54"
"2021-05-02","0.00","0.0","0.0","67","72","53"
"2021-05-03","0.00","0.0","0.0","59","68","49"
"2021-05-04","0.00","0.0","0.0","52","60","41"
"2021-05-05","0.07","0.0","0.0","48","55","39"
"2021-05-06","0.00","0.0","0.0","49","62","39"
"2021-05-07","0.00","0.0","0.0","50","58","39"
"2021-05-08","0.00","0.0","0.0","50","58","40"
"2021-05-09","0.00","0.0","0.0","52","63","40"
"2021-05-10","0.00","0.0","0.0","49","56","38"
"2021-05-11","0.00","0.0","0.0","48","63","36"
"2021-05-12","0.00","0.0","0.0","56","69","42"
"2021-05-13","0.00","0.0","0.0","60","71","48"
"2021-05-14","0.01","0.0","0.0","61","68","54"
"2021-05-15","0.00","0.0","0.0","60","75","51"
"2021-05-16","0.00","0.0","0.0","62","75","52"
"2021-05-17","0.00","0.0","0.0","66","79","53"
"2021-05-18","0.03","0.0","0.0","67","74","58"
"2021-05-19","0.75","0.0","0.0","67","77","62"
"2021-05-20","0.10","0.0","0.0","69","74","65"
"2021-05-21","0.59","0.0","0.0","70","81","63"
"2021-05-22","0.00","0.0","0.0","75","83","68"
"2021-05-23","0.00","0.0","0.0","75","80","66"
"2021-05-24","0.30","0.0","0.0","72","87","67"
"2021-05-25","0.43","0.0","0.0","77","86","63"
"2021-05-26","0.00","0.0","0.0","64","66","54"
"2021-05-27","0.98","0.0","0.0","51","56","41"
"2021-05-28","0.01","0.0","0.0","47","61","39"
"2021-05-29","0.01","0.0","0.0","54","65","42"
"2021-05-30","0.00","0.0","0.0","58","62","54"
"2021-05-31","0.00","0.0","0.0","63","78","52"
"2021-06-01","0.00","0.0","0.0","67","79","54"
"2021-06-02","0.00","0.0","0.0","69","84","60"
"2021-06-03","0.00","0.0","0.0","78","91","70"
"2021-06-04","0.00","0.0","0.0","83","97","73"
"2021-06-05","0.00","0.0","0.0","88","99","78"
"2021-06-06","0.00","0.0","0.0","86","93","76"
"2021-06-07","0.00","0.0","0.0","83","96","74"
"2021-06-08","0.00","0.0","0.0","87","96","77"
"2021-06-09","0.40","0.0","0.0","85","96","75"
"2021-06-10","0.00","0.0","0.0","85","97","75"
"2021-06-11","0.00","0.0","0.0","85","90","73"
"2021-06-12","0.00","0.0","0.0","78","87","66"
"2021-06-13","0.00","0.0","0.0","79","97","63"
"2021-06-14","0.00","0.0","0.0","78","88","61"
"2021-06-15","0.00","0.0","0.0","74","83","63"
"2021-06-16","0.00","0.0","0.0","76","89","63"
"2021-06-17","0.00","0.0","0.0","81","89","68"
"2021-06-18","0.00","0.0","0.0","78","91","63"
"2021-06-19","0.00","0.0","0.0","75","81","62"
"2021-06-20","0.70","0.0","0.0","70","74","61"
"2021-06-21","0.00","0.0","0.0","61","69","53"
"2021-06-22","0.00","0.0","0.0","62","76","51"
"2021-06-23","0.00","0.0","0.0","70","88","58"
"2021-06-24","0.00","0.0","0.0","83","90","71"
"2021-06-25","0.00","0.0","0.0","77","87","66"
"2021-06-26","0.14","0.0","0.0","74","76","68"
"2021-06-27","0.70","0.0","0.0","71","83","65"
"2021-06-28","0.12","0.0","0.0","71","84","64"
"2021-06-29","0.00","0.0","0.0","73","84","67"
"2021-06-30","0.00","0.0","0.0","78","88","66"
"2021-07-01","0.00","0.0","0.0","78","89","69"
"2021-07-02","0.00","0.0","0.0","75","86","61"
"2021-07-03","0.00","0.0","0.0","78","87","67"
"2021-07-04","0.00","0.0","0.0","83","94","74"
"2021-07-05","0.00","0.0","0.0","87","96","75"
"2021-07-06","0.43","0.0","0.0","80","82","59"
"2021-07-07","0.00","0.0","0.0","62","66","56"
"2021-07-08","0.00","0.0","0.0","63","73","54"
"2021-07-09","0.00","0.0","0.0","69","78","61"
"2021-07-10","0.00","0.0","0.0","71","81","64"
"2021-07-11","0.00","0.0","0.0","74","87","62"
"2021-07-12","0.00","0.0","0.0","74","83","62"
"2021-07-13","0.00","0.0","0.0","76","87","65"
"2021-07-14","0.22","0.0","0.0","74","75","64"
"2021-07-15","0.00","0.0","0.0","70","84","61"
"2021-07-16","0.00","0.0","0.0","75","86","63"
"2021-07-17","0.00","0.0","0.0","76","87","65"
"2021-07-18","0.00","0.0","0.0","78","88","66"
"2021-07-19","0.00","0.0","0.0","79","90","68"
"2021-07-20","0.00","0.0","0.0","80","90","69"
"2021-07-21","0.00","0.0","0.0","75","85","66"
"2021-07-22","0.06","0.0","0.0","77","85","70"
"2021-07-23","0.00","0.0","0.0","83","95","73"
"2021-07-24","0.02","0.0","0.0","84","93","73"
"2021-07-25","0.00","0.0","0.0","80","92","66"
"2021-07-26","0.06","0.0","0.0","82","90","70"
"2021-07-27","0.00","0.0","0.0","83","93","76"
"2021-07-28","0.08","0.0","0.0","82","93","71"
"2021-07-29","0.00","0.0","0.0","82","85","68"
"2021-07-30","0.00","0.0","0.0","73","80","65"
"2021-07-31","0.00","0.0","0.0","73","88","61"
"2021-08-01","0.00","0.0","0.0","73","81","62"
"2021-08-02","0.00","0.0","0.0","72","82","62"
"2021-08-03","0.00","0.0","0.0","74","86","63"
"2021-08-04","0.00","0.0","0.0","76","85","66"
"2021-08-05","0.39","0.0","0.0","75","83","69"
"2021-08-06","0.00","0.0","0.0","76","85","67"
"2021-08-07","0.87","0.0","0.0","73","73","67"
"2021-08-08","1.22","0.0","0.0","73","79","68"
"2021-08-09","0.00","0.0","0.0","75","86","67"
"2021-08-10","0.00","0.0","0.0","79","88","73"
"2021-08-11","0.00","0.0","0.0","78","84","68"
"2021-08-12","0.01","0.0","0.0","75","82","66"
"2021-08-13","0.00","0.0","0.0","71","80","59"
"2021-08-14","0.00","0.0","0.0","71","86","58"
"2021-08-15","0.00","0.0","0.0","76","85","65"
"2021-08-16","0.00","0.0","0.0","74","85","62"
"2021-08-17","0.00","0.0","0.0","76","88","64"
"2021-08-18","0.00","0.0","0.0","79","90","68"
"2021-08-19","0.00","0.0","0.0","80","90","70"
"2021-08-20","0.10","0.0","0.0","81","90","71"
"2021-08-21","0.00","0.0","0.0","73","75","59"
"2021-08-22","0.04","0.0","0.0","67","80","56"
"2021-08-23","0.00","0.0","0.0","74","91","65"
"2021-08-24","1.27","0.0","0.0","75","82","65"
"2021-08-25","0.00","0.0","0.0","76","84","67"
"2021-08-26","1.59","0.0","0.0","69","73","63"
"2021-08-27","0.58","0.0","0.0","70","76","68"
"2021-08-28","0.65","0.0","0.0","75","83","67"
"2021-08-29","0.16","0.0","0.0","73","81","66"
"2021-08-30","0.00","0.0","0.0","73","83","62"
"2021-08-31","0.00","0.0","0.0","72","79","63"
"2021-09-01","0.00","0.0","0.0","70","78","61"
"2021-09-02","0.14","0.0","0.0","66","69","61"
"2021-09-03","0.82","0.0","0.0","62","64","60"
"2021-09-04","0.00","0.0","0.0","67","78","61"
"2021-09-05","0.00","0.0","0.0","68","78","58"
"2021-09-06","0.00","0.0","0.0","67","81","56"
"2021-09-07","0.00","0.0","0.0","73","79","63"
"2021-09-08","0.00","0.0","0.0","67","75","59"
"2021-09-09","0.00","0.0","0.0","65","75","55"
"2021-09-10","0.00","0.0","0.0","69","82","57"
"2021-09-11","0.00","0.0","0.0","73","79","64"
"2021-09-12","0.00","0.0","0.0","65","72","56"
"2021-09-13","0.14","0.0","0.0","64","77","53"
"2021-09-14","0.00","0.0","0.0","66","72","58"
"2021-09-15","0.00","0.0","0.0","64","78","52"
"2021-09-16","0.00","0.0","0.0","74","88","66"
"2021-09-17","0.24","0.0","0.0","71","78","55"
"2021-09-18","0.00","0.0","0.0","62","78","50"
"2021-09-19","0.00","0.0","0.0","75","90","66"
"2021-09-20","0.10","0.0","0.0","74","76","56"
"2021-09-21","0.00","0.0","0.0","60","67","51"
"2021-09-22","0.00","0.0","0.0","58","71","46"
"2021-09-23","0.00","0.0","0.0","61","74","48"
"2021-09-24","0.04","0.0","0.0","58","61","49"
"2021-09-25","0.00","0.0","0.0","54","69","44"
"2021-09-26","0.00","0.0","0.0","63","82","50"
"2021-09-27","0.00","0.0","0.0","67","78","56"
"2021-09-28","0.00","0.0","0.0","67","82","56"
"2021-09-29","0.00","0.0","0.0","69","85","59"
"2021-09-30","0.00","0.0","0.0","73","82","63"
"2021-10-01","0.01","0.0","0.0","72","79","64"
"2021-10-02","0.26","0.0","0.0","69","73","64"
"2021-10-03","0.00","0.0","0.0","65","73","54"
"2021-10-04","0.00","0.0","0.0","61","73","51"
"2021-10-05","0.00","0.0","0.0","64","75","54"
"2021-10-06","0.00","0.0","0.0","64","75","56"
"2021-10-07","0.00","0.0","0.0","66","71","62"
"2021-10-08","0.00","0.0","0.0","66","73","63"
"2021-10-09","0.00","0.0","0.0","68","79","61"
"2021-10-10","0.00","0.0","0.0","68","71","53"
"2021-10-11","0.00","0.0","0.0","58","71","49"
"2021-10-12","0.00","0.0","0.0","60","65","57"
"2021-10-13","0.01","0.0","0.0","59","64","55"
"2021-10-14","0.00","0.0","0.0","53","56","46"
"2021-10-15","0.01","0.0","0.0","48","55","42"
"2021-10-16","0.00","0.0","0.0","49","64","38"
"2021-10-17","0.00","0.0","0.0","52","69","40"
"2021-10-18","0.00","0.0","0.0","59","79","46"
"2021-10-19","0.00","0.0","0.0","62","74","50"
"2021-10-20","0.68","0.0","0.0","57","60","48"
"2021-10-21","0.05","0.0","0.0","48","51","35"
"2021-10-22","0.00","0.0","0.0","41","50","33"
"2021-10-23","0.00","0.0","0.0","41","52","31"
"2021-10-24","0.00","0.0","0.0","44","49","38"
"2021-10-25","0.00","0.0","0.0","44","53","35"
"2021-10-26","0.00","0.0","0.0","46","57","39"
"2021-10-27","0.32","0.0","0.0","50","53","47"
"2021-10-28","0.54","0.0","0.0","48","49","46"
"2021-10-29","0.00","0.0","0.0","50","58","39"
"2021-10-30","0.00","0.0","0.0","45","59","35"
"2021-10-31","0.00","0.0","0.0","45","49","36"
"2021-11-01","0.00","0.0","0.0","38","44","32"
"2021-11-02","0.00","0.0","0.0","38","43","31"
"2021-11-03","0.00","0.0","0.0","38","46","32"
"2021-11-04","0.00","0.0","0.0","39","52","30"
"2021-11-05","0.00","0.0","0.0","47","60","38"
"2021-11-06","0.00","0.0","0.0","55","67","45"
"2021-11-07","0.00","0.0","0.0","52","62","44"
"2021-11-08","0.00","0.0","0.0","51","56","41"
"2021-11-09","0.00","0.0","0.0","45","56","31"
"2021-11-10","0.27","0.0","0.0","44","54","35"
"2021-11-11","0.41","0.0","0.0","42","44","35"
"2021-11-12","0.06","0.0","0.0","36","39","33"
"2021-11-13","0.08","1.2","0.0","33","34","30"
"2021-11-14","0.00","0.0","1.2","31","34","30"
"2021-11-15","0.00","0.0","0.0","31","36","28"
"2021-11-16","0.00","0.0","0.0","34","45","30"
"2021-11-17","0.00","0.0","0.0","40","42","31"
"2021-11-18","0.00","0.0","0.0","31","32","23"
"2021-11-19","0.00","0.0","0.0","28","42","20"
"2021-11-20","0.00","0.0","0.0","37","44","30"
"2021-11-21","0.00","0.0","0.0","33","38","19"
"2021-11-22","0.00","0.0","0.0","22","30","17"
"2021-11-23","0.00","0.0","0.0","34","54","25"
"2021-11-24","0.00","0.0","0.0","46","50","26"
"2021-11-25","0.00","0.0","0.0","23","26","14"
"2021-11-26","0.00","0.0","0.0","23","34","16"
"2021-11-27","0.00","0.0","0.0","33","41","27"
"2021-11-28","0.00","0.0","0.0","32","39","24"
"2021-11-29","0.00","0.0","0.0","38","52","32"
"2021-11-30","0.03","0.0","0.0","38","45","30"
"2021-12-01","0.13","0.0","0.0","40","51","35"
"2021-12-02","0.03","0.0","0.0","45","50","37"
"2021-12-03","0.02","0.0","0.0","39","43","31"
"2021-12-04","0.11","1.0","0.0","32","35","27"
"2021-12-05","0.01","0.1","1.2","31","38","28"
"2021-12-06","0.00","0.0","1.2","18","28","3"
"2021-12-07","0.10","1.4","1.2","9","16","5"
"2021-12-08","0.00","0.0","3.1","11","23","3"
"2021-12-09","0.00","0.0","3.1","28","40","23"
"2021-12-10","0.68","11.0","1.2","29","30","25"
"2021-12-11","0.04","0.8","11.8","27","30","22"
"2021-12-12","0.00","0.0","9.8","28","36","24"
"2021-12-13","0.00","0.0","9.1","32","41","24"
"2021-12-14","0.00","0.0","7.9","35","41","29"
"2021-12-15","0.27","0.0","3.9","43","58","39"
"2021-12-16","0.00","0.2","0.0","33","43","15"
"2021-12-17","0.00","0.0","0.0","16","20","11"
"2021-12-18","0.11","1.5","2.0","18","23","9"
"2021-12-19","0.00","0.0","2.0","15","31","7"
"2021-12-20","0.00","0.0","1.2","25","29","11"
"2021-12-21","0.05","0.6","1.2","15","21","7"
"2021-12-22","0.00","0.0","2.0","13","25","7"
"2021-12-23","0.00","0.0","2.0","27","39","22"
"2021-12-24","0.00","0.0","1.2","36","43","28"
"2021-12-25","0.00","0.0","0.0","25","29","18"
"2021-12-26","0.21","2.2","0.0","20","31","13"
"2021-12-27","0.05","0.0","2.0","26","34","6"
"2021-12-28","0.13","2.2","2.0","13","21","0"
"2021-12-29","0.00","0.0","3.9","4","10","-7"
"2021-12-30","0.01","0.1","3.9","12","27","6"
